product_title,variant_sku,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
BORA BORA adora,AP1613-SLV/BLK C4,10,108900.000,0.000,0.000,108900.000,0.000,108900.000
Di,7316-SLV/PURPPINK-C3-01,10,189100.000,-83400.000,0.000,105700.000,0.000,105700.000
STRONG,TR06-C5,10,179100.000,-36866.670,-33600.000,108633.330,0.000,108633.330
PAPARAZZI,2258-BRN/BRNFD-C10-02,10,149800.000,-51966.670,0.000,97833.330,0.000,97833.330
MALIBU,173-BLK/BLT,10,126800.000,-43600.000,0.000,83200.000,0.000,83200.000
MIRA Blue,7075-BLK/BLUE-C9-45,10,119000.000,-31900.000,0.000,87100.000,0.000,87100.000
SQ,7088-BLK/BLK C9-08,10,128600.000,-20500.000,-9600.000,98500.000,0.000,98500.000
BELLA POLARIZED,AP1057-BLK/BLUE-C4,10,108900.000,-8966.670,0.000,99933.330,0.000,99933.330
IDOL,1670-MTBLK/FD C5,9,117200.000,-27400.000,0.000,89800.000,0.000,89800.000
OCTA,09047-BLACK-C3,9,86400.000,0.000,0.000,86400.000,0.000,86400.000
ZAMLER,808-GREY,9,155400.000,-78500.000,0.000,76900.000,0.000,76900.000
MAD,08039-BROWN-C2,9,86400.000,0.000,0.000,86400.000,0.000,86400.000
FALCON,2237-BLK-C9-08,9,187200.000,-113400.000,0.000,73800.000,0.000,73800.000
Man 16129,16129-BRN-C10-32,9,187200.000,-119400.000,0.000,67800.000,0.000,67800.000
WEST,D2112-GOLD/YELLOW C8-79,9,105100.000,0.000,0.000,105100.000,0.000,105100.000
Tropica,63058-BLUE,8,99800.000,-40050.000,0.000,59750.000,0.000,59750.000
BASTION,2168-BLK,8,153100.000,-54100.000,0.000,99000.000,0.000,99000.000
SUSSY,3594-BLACK-C9-08,8,120000.000,-67800.000,0.000,52200.000,0.000,52200.000
ANISA,2178-ORANGE-C7,8,95500.000,-25500.000,0.000,70000.000,0.000,70000.000
XLVL,AC152-BLUE/BLUE C3,8,162200.000,-98600.000,-7800.000,55800.000,0.000,55800.000
80811,80811-BLK/BLT-C2,8,107600.000,-24000.000,0.000,83600.000,0.000,83600.000
YOKO,08037-BLUE/FADE-C4,8,158400.000,-100200.000,-9600.000,48600.000,0.000,48600.000
JOWANNA,7170-GOLD/BRN C8,7,124400.000,-54400.000,-9600.000,60400.000,0.000,60400.000
MAN 8029,8029-BLACK-C1,7,108200.000,-26700.000,0.000,81500.000,0.000,81500.000
BASILIO,7177-SLV/BLUE C3,7,98400.000,-63600.000,0.000,34800.000,0.000,34800.000
MAGIC,0180-1-BLK/RED-C3,7,98000.000,-50000.000,0.000,48000.000,0.000,48000.000
MAD,08039-PEPPA-C6,7,76800.000,-19200.000,-9600.000,48000.000,0.000,48000.000
SUSSY,3594-CHOKO/BLUE-C35-30,7,124800.000,-82200.000,0.000,42600.000,0.000,42600.000
MAGIC,0180-1-BLK/SLV-C2,7,98400.000,-22300.000,0.000,76100.000,0.000,76100.000
IBIZA,1601-BLK/BLUE C3,7,80100.000,-6100.000,0.000,74000.000,0.000,74000.000
81306,81306-BLKGOLD/BLT-C2,7,79700.000,-2150.000,0.000,77550.000,0.000,77550.000
BENEFIT,398-GOLD/FD-C2,7,100300.000,-39700.000,0.000,60600.000,0.000,60600.000
SELFIE POLARIZED,P1680-BLK/BLK C1,7,130100.000,-56866.670,-18833.330,54400.000,0.000,54400.000
Z POLARIZED,GUP009-BLKFD-C1,7,85900.000,-6100.000,0.000,79800.000,0.000,79800.000
MAN 8029,8029-BROWN-C2,7,110400.000,-58200.000,0.000,52200.000,0.000,52200.000
POSH POLARIZED,AP1059-BLK/PINK-C5,6,57600.000,-9600.000,0.000,48000.000,0.000,48000.000
81306,81306-BLK/BLT-C1,6,98000.000,-27400.000,-9600.000,61000.000,0.000,61000.000
DOMINO,03672-BLACK-C9-31,6,57600.000,0.000,0.000,57600.000,0.000,57600.000
JULIET,08040-MATTE/BLK-C3,6,57600.000,0.000,0.000,57600.000,0.000,57600.000
FALCON,2237-RED-C9-79,6,86400.000,-49800.000,0.000,36600.000,0.000,36600.000
Z,GUW009-RED-C5,6,109400.000,-60200.000,0.000,49200.000,0.000,49200.000
BORA BORA adora,AP1613-BLK/BLK C1,6,61900.000,0.000,0.000,61900.000,0.000,61900.000
ALBATROSS,7115-BLUE,6,72000.000,-9600.000,0.000,62400.000,0.000,62400.000
UNIQUE,TR03-C1,5,75800.000,-13305.990,-15600.000,46894.010,0.000,46894.010
81301,81301-BRWN/BLT-C3,5,76300.000,-37900.000,-9600.000,28800.000,0.000,28800.000
SUS,SUS-BLUE,5,56600.000,-10400.000,0.000,46200.000,0.000,46200.000
5006,5006-SLV/BLT-C2,5,56200.000,-9600.000,0.000,46600.000,0.000,46600.000
5006,5006-BLKSLV/BLT-C6,5,48000.000,0.000,0.000,48000.000,0.000,48000.000
BORA BORA adora,AP1613-BRN/BRN C2,5,48000.000,0.000,0.000,48000.000,0.000,48000.000
MAD,08039-BLK/FADE-C1,5,48000.000,-19200.000,0.000,28800.000,0.000,28800.000
SQ Silver,7088-SLV/C4-62,5,95000.000,-31100.000,-12900.000,51000.000,0.000,51000.000
GOLDEN BRIDGE,36041-BRN,5,85400.000,-36200.000,0.000,49200.000,0.000,49200.000
Z,GUW009-BRN-C3,5,90700.000,-30100.000,-9600.000,51000.000,0.000,51000.000
JULIET,08040-BROWN-C2,5,57600.000,-9600.000,0.000,48000.000,0.000,48000.000
Подарок! Очки-сюрприз 🎁,GIFT-S,5,0.000,0.000,0.000,0.000,0.000,0.000
VITO,2348-VIOLET-C3-51,5,48000.000,0.000,0.000,48000.000,0.000,48000.000
PHANTOM,2218-BLK/BLKFD-C4-124,5,99800.000,0.000,0.000,99800.000,0.000,99800.000
HOT PARTY SUNRISE,183-WHITE/BLK,5,65800.000,-17800.000,-9600.000,38400.000,0.000,38400.000
LILY,08036-MTBLK-C3,5,56200.000,-8200.000,0.000,48000.000,0.000,48000.000
YOKO,08037-BEIGE-C6,5,129600.000,-90600.000,-7800.000,31200.000,0.000,31200.000
LIBERTY,TR-04 C2,5,52300.000,-7100.000,0.000,45200.000,0.000,45200.000
PHANTOM,2218-BLK/RED-C9-79,5,79600.000,-42300.000,0.000,37300.000,0.000,37300.000
FREEDOM,TR-01 C4,5,56200.000,-17800.000,0.000,38400.000,0.000,38400.000
80811,80811-GOLD/BLT-C1,4,38400.000,-9600.000,0.000,28800.000,0.000,28800.000
VITO,2348-BLACK-C9-08,4,81600.000,-40800.000,0.000,40800.000,0.000,40800.000
